0.5	0.180805
1.5	0.175
2.5	0.1828
3.5	0.170004
4.5	0.155359
5.5	0.175734
6.5	0.165697
7.5	0.148091
8.5	0.149093
9.5	0.157593
10.5	0.156496
11.5	0.147809
12.5	0.144615
13.5	0.155042
14.5	0.153622
15.5	0.156597
16.5	0.18024
17.5	0.189606
18.5	0.18859
19.5	0.191777
20.5	0.187433
21.5	0.18625
22.5	0.194762
23.5	0.181658
24.5	0.170269
25.5	0.173745
26.5	0.17409
27.5	0.178897
28.5	0.182398
29.5	0.181071
30.5	0.178551
31.5	0.173263
32.5	0.173062
33.5	0.182632
34.5	0.172438
35.5	0.163344
36.5	0.163478
37.5	0.173636
38.5	0.17075
39.5	0.174676
40.5	0.170085
41.5	0.175636
42.5	0.177966
43.5	0.176808
44.5	0.176445
45.5	0.185673
46.5	0.194028
47.5	0.190548
48.5	0.178487
49.5	0.17055
50.5	0.16343
51.5	0.156035
52.5	0.161937
53.5	0.181659
54.5	0.190242
55.5	0.187991
56.5	0.171034
57.5	0.157068
58.5	0.155213
59.5	0.157255
60.5	0.162826
61.5	0.16233
62.5	0.162542
63.5	0.165997
64.5	0.166097
65.5	0.170121
66.5	0.17755
67.5	0.181141
68.5	0.16835
69.5	0.164615
70.5	0.186073
71.5	0.204715
72.5	0.191067
73.5	0.181214
74.5	0.166507
75.5	0.149339
76.5	0.136413
77.5	0.147212
78.5	0.154051
79.5	0.140077
80.5	0.202052
81.5	0.178857
82.5	0.175
83.5	0.20838
84.5	0.150853
85.5	0.175
86.5	0.175
87.5	0.175
88.5	0.175
89.5	0.175
